> coef(twoPL_run09, IRTpars = TRUE, simplify=TRUE)
$items
                a       b g u
about      50.547  -2.291 0 1
above       1.834  -0.469 0 1
after      45.789  -1.504 0 1
airplane   18.244   1.889 0 1
all        50.547  -2.291 0 1
alligator  18.244   1.889 0 1
animal     18.244   1.889 0 1
ankle      18.244   1.889 0 1
another    45.789  -1.504 0 1
ant        18.244   1.889 0 1
any        50.547  -2.291 0 1
apple       0.977   0.532 0 1
applesauce 18.244   1.889 0 1
arm         4.249   1.428 0 1
around      2.061  -0.110 0 1
asleep      1.684  -0.489 0 1
at          1.048  -3.578 0 1
aunt        1.654   1.085 0 1
awake       3.501   1.177 0 1
away        1.165  -0.594 0 1
baby       59.211   0.308 0 1
back        0.257 -10.616 0 1
backyard   18.244   1.889 0 1
bad         1.340  -1.370 0 1
ball        1.600   0.774 0 1
balloon    18.244   1.889 0 1
banana     18.244   1.889 0 1
basement    4.249   1.428 0 1
basket     18.244   1.889 0 1
bat         4.249   1.428 0 1
bath        0.998   0.527 0 1
bathroom    1.654   1.085 0 1
bathtub    18.244   1.889 0 1
beach      52.336   0.489 0 1
beads      18.244   1.889 0 1
beans       3.532   1.175 0 1
bear       66.777   1.299 0 1
bed        70.727   0.699 0 1
bedroom     5.928   0.301 0 1
bee         1.213   2.224 0 1
before      0.422  -1.890 0 1
behind      1.186  -0.215 0 1
belt        1.452   1.137 0 1
bench       2.266   0.468 0 1
beside      1.024  -0.638 0 1
better     65.797  -1.097 0 1
bib        18.244   1.889 0 1
bicycle     2.533   1.634 0 1
big         3.158  -1.160 0 1
bird       68.849   1.099 0 1
bite       66.777   1.299 0 1
black      11.060  -0.790 0 1
blanket     3.532   1.175 0 1
block      18.244   1.889 0 1
blow       66.777   1.299 0 1
blue        1.450   1.138 0 1
boat       18.244   1.889 0 1
book        0.725   1.119 0 1
boots      56.870   0.923 0 1
bottle      2.533   1.634 0 1
bowl        1.161   1.703 0 1
box         2.110   0.734 0 1
boy         4.210   0.276 0 1
bread       2.339   0.990 0 1
break.      2.331   0.990 0 1
breakfast   6.468   0.504 0 1
bring       3.782  -0.751 0 1
broken     18.244   1.889 0 1
broom      18.244   1.889 0 1
brother    65.797  -1.097 0 1
brown      18.244   1.889 0 1
brush       1.142   0.500 0 1
bubbles    18.244   1.889 0 1
bucket     18.244   1.889 0 1
bug        18.244   1.889 0 1
build       1.474   0.154 0 1
bump        1.303   1.608 0 1
bunny      18.244   1.889 0 1
bus         1.972   1.358 0 1
butter     66.777   1.299 0 1
butterfly  18.244   1.889 0 1
button     70.727   0.699 0 1
buy        56.261  -0.288 0 1
by         45.789  -1.504 0 1
bye         2.266   0.468 0 1
cake        1.046   1.801 0 1
call       45.789  -1.504 0 1
camera      1.112   2.329 0 1
camping    68.849   1.099 0 1
candy      18.244   1.889 0 1
car         0.253  -2.924 0 1
careful    31.657   0.169 0 1
carrots    18.244   1.889 0 1
carry       3.171   0.711 0 1
cat         3.501   1.177 0 1
catch       1.063   1.310 0 1
cereal     18.244   1.889 0 1
chair       4.249   1.428 0 1
chalk      18.244   1.889 0 1

$means
F1 
 0 

$cov
   F1
F1  1
