> model <- 'F = 1-587
+ CONSTRAIN = (1-587, a1)'
> model
[1] "F = 1-587\nCONSTRAIN = (1-587, a1)"
> twoPL_run10_equal_slopes <- mirt(lang_acq_run10_all_words_tsv, model)
Iteration: 25, Log-Lik: -1812.714, Max-Change: 0.00005
> coef(twoPL_run10_equal_slopes, IRTpars = TRUE, simplify=TRUE)
$items
                 a      b g u
about        3.149 -1.507 0 1
above        3.149  0.029 0 1
after        3.149 -0.762 0 1
airplane     3.149  2.975 0 1
all          3.149 -0.762 0 1
alligator    3.149  2.975 0 1
animal       3.149  1.393 0 1
ankle        3.149  2.975 0 1
another      3.149 -1.507 0 1
ant          3.149  2.975 0 1
any          3.149 -0.762 0 1
apple        3.149  0.733 0 1
applesauce   3.149  2.975 0 1
arm          3.149  0.907 0 1
around       3.149 -0.443 0 1
asleep       3.149  0.568 0 1
at           3.149 -2.499 0 1
aunt         3.149  0.568 0 1
awake        3.149  0.907 0 1
away         3.149  0.223 0 1
baby         3.149  0.907 0 1
back         3.149 -1.118 0 1
backyard     3.149  1.393 0 1
bad          3.149 -0.187 0 1
ball         3.149  0.907 0 1
balloon      3.149  2.975 0 1
banana       3.149  2.975 0 1
basement     3.149  2.975 0 1
basket       3.149  2.975 0 1
bat          3.149  2.975 0 1
bath         3.149  0.907 0 1
bathroom     3.149  0.400 0 1
bathtub      3.149  2.975 0 1
beach        3.149  0.223 0 1
beads        3.149  2.975 0 1
beans        3.149  1.393 0 1
bear         3.149  2.975 0 1
bed          3.149  0.568 0 1
bedroom      3.149  0.223 0 1
bee          3.149  1.393 0 1
before       3.149  0.029 0 1
behind       3.149 -0.187 0 1
belt         3.149  1.393 0 1
bench        3.149  0.029 0 1
beside       3.149  0.568 0 1
better       3.149 -0.187 0 1
bib          3.149  2.975 0 1
bicycle      3.149  1.109 0 1
big          3.149 -0.443 0 1
bird         3.149  2.975 0 1
bite         3.149  1.109 0 1
black        3.149  0.568 0 1
blanket      3.149  1.109 0 1
block        3.149  2.975 0 1
blow         3.149  1.109 0 1
blue         3.149  1.109 0 1
boat         3.149  2.975 0 1
book         3.149  0.733 0 1
boots        3.149  0.907 0 1
bottle       3.149  2.975 0 1
bowl         3.149  1.393 0 1
box          3.149  0.568 0 1
boy          3.149  0.400 0 1
bread        3.149  1.393 0 1
break.       3.149  1.109 0 1
breakfast    3.149  0.733 0 1
bring        3.149  0.029 0 1
broken       3.149  1.393 0 1
broom        3.149  2.975 0 1
brother      3.149  0.223 0 1
brown        3.149  1.109 0 1
brush        3.149  1.109 0 1
bubbles      3.149  2.975 0 1
bucket       3.149  2.975 0 1
bug          3.149  2.975 0 1
build        3.149  0.568 0 1
bump         3.149  0.568 0 1
bunny        3.149  2.975 0 1
bus          3.149  1.109 0 1
butter       3.149  0.733 0 1
butterfly    3.149  2.975 0 1
button       3.149  0.568 0 1
buy          3.149 -0.187 0 1
by           3.149 -1.118 0 1
bye          3.149  0.733 0 1
cake         3.149  1.109 0 1
call         3.149 -0.762 0 1
camera       3.149  1.393 0 1
camping      3.149  0.907 0 1
candy        3.149  1.393 0 1
car          3.149  0.223 0 1
careful      3.149  0.223 0 1
carrots      3.149  1.393 0 1
carry        3.149  0.568 0 1
cat          3.149  1.109 0 1
catch        3.149  0.733 0 1
cereal       3.149  2.975 0 1
chair        3.149  1.109 0 1
chalk        3.149  2.975 0 1
chase        3.149  1.393 0 1
cheek        3.149  2.975 0 1
cheerios     3.149  2.975 0 1
cheese       3.149  0.733 0 1
child        3.149  1.393 0 1
chin         3.149  1.109 0 1
chocolate    3.149  0.223 0 1
church       3.149  1.109 0 1
circus       3.149  2.975 0 1
clap         3.149  1.109 0 1
climb        3.149  0.400 0 1
clock        3.149 -0.187 0 1
close        3.149  0.400 0 1
closet       3.149  1.393 0 1
cloud        3.149  1.393 0 1
clown        3.149  2.975 0 1
coat         3.149  0.907 0 1
coffee       3.149  0.907 0 1
coke         3.149  2.975 0 1
cold         3.149  0.907 0 1
comb         3.149  0.907 0 1
cook         3.149  0.907 0 1
cookie       3.149  2.975 0 1
corn         3.149  2.975 0 1
couch        3.149  1.109 0 1
country      3.149  0.907 0 1
cover        3.149  1.109 0 1
cow          3.149  2.975 0 1
cowboy       3.149  2.975 0 1
cracker      3.149  2.975 0 1
crayon       3.149  2.975 0 1
crib         3.149  2.975 0 1
cry          3.149  1.109 0 1
cup          3.149  0.568 0 1
cut          3.149  0.907 0 1
cute         3.149  0.733 0 1
daddy        3.149  1.393 0 1
dance        3.149  0.907 0 1
dark         3.149  0.733 0 1
day          3.149 -0.762 0 1
deer         3.149  2.975 0 1
diaper       3.149  2.975 0 1
did          3.149 -0.762 0 1
dinner       3.149  0.400 0 1
dirty        3.149  1.393 0 1
dish         3.149  2.975 0 1
doctor       3.149  0.733 0 1
dog          3.149  0.907 0 1
doll         3.149  1.393 0 1
donkey       3.149  2.975 0 1
donut        3.149  2.975 0 1
door         3.149 -0.443 0 1
down         3.149 -0.762 0 1
downtown     3.149  2.975 0 1
draw         3.149  1.393 0 1
