> lognormal_prior <- 'F = 1-587
+ PRIOR = (1-587, a1, lnorm, 0, 1)' 
> lognormal_model <- mirt.model(lognormal_prior)
> twoPL_run10_lognormal_prior <- mirt(lang_acq_run10_all_words_tsv, lognormal_model)
Iteration: 47, Log-Lik: -2364.533, Max-Change: 0.00004
> coef(twoPL_run10_lognormal_prior, IRTpars = TRUE, simplify = TRUE)
$items
                 a       b g u
about        0.839  -5.829 0 1
above        0.773  -1.903 0 1
after        1.627  -3.946 0 1
airplane     0.965   4.562 0 1
all          1.627  -3.946 0 1
alligator    0.965   4.562 0 1
animal       0.475   4.272 0 1
ankle        0.965   4.562 0 1
another      0.807  -5.869 0 1
ant          0.965   4.562 0 1
any          1.627  -3.946 0 1
apple        0.587   0.774 0 1
applesauce   0.965   4.562 0 1
arm          0.591   1.544 0 1
around       0.548  -3.558 0 1
asleep       1.236  -0.075 0 1
at           0.700  -7.408 0 1
aunt         0.694  -0.010 0 1
awake        0.554   1.636 0 1
away         1.644  -1.092 0 1
baby         0.689   1.359 0 1
back         0.563  -5.320 0 1
backyard     0.947   2.702 0 1
bad          0.610  -2.706 0 1
ball         0.336   2.670 0 1
balloon      0.965   4.562 0 1
banana       0.965   4.562 0 1
basement     0.965   4.562 0 1
basket       0.965   4.562 0 1
bat          0.965   4.562 0 1
bath         0.847   1.168 0 1
bathroom     1.482  -0.569 0 1
bathtub      0.965   4.562 0 1
beach        1.644  -1.092 0 1
beads        0.965   4.562 0 1
beans        0.947   2.702 0 1
bear         0.965   4.562 0 1
bed          2.172  -0.032 0 1
bedroom      1.644  -1.092 0 1
bee          0.722   3.202 0 1
before       1.000  -1.816 0 1
behind       0.824  -2.554 0 1
belt         0.813   2.969 0 1
bench        0.952  -1.831 0 1
beside       0.757  -0.035 0 1
better       0.824  -2.554 0 1
bib          0.965   4.562 0 1
bicycle      1.024   1.694 0 1
big          1.243  -3.120 0 1
bird         0.965   4.562 0 1
bite         0.853   1.892 0 1
black        0.821  -0.052 0 1
blanket      0.853   1.892 0 1
block        0.965   4.562 0 1
blow         1.024   1.694 0 1
blue         1.024   1.694 0 1
boat         0.965   4.562 0 1
book         0.463   1.031 0 1
boots        1.704   0.876 0 1
bottle       0.965   4.562 0 1
bowl         0.267   6.940 0 1
box          0.674   0.000 0 1
boy          1.745  -0.543 0 1
bread        0.947   2.702 0 1
break.       0.601   2.425 0 1
breakfast    0.848   0.535 0 1
bring        0.948  -1.833 0 1
broken       0.947   2.702 0 1
broom        0.965   4.562 0 1
brother      0.279  -1.333 0 1
brown        0.515   2.742 0 1
brush        0.853   1.892 0 1
bubbles      0.965   4.562 0 1
bucket       0.965   4.562 0 1
bug          0.965   4.562 0 1
build        0.534   0.111 0 1
bump         1.112  -0.077 0 1
bunny        0.965   4.562 0 1
bus          0.622   2.362 0 1
butter       0.821   0.550 0 1
butterfly    0.965   4.562 0 1
button       0.579   0.065 0 1
buy          0.860  -2.535 0 1
by           1.108  -4.819 0 1
bye          0.750   0.596 0 1
cake         0.559   2.566 0 1
call         1.627  -3.946 0 1
camera       0.722   3.202 0 1
camping      1.704   0.876 0 1
candy        0.947   2.702 0 1
car          0.289  -1.334 0 1
careful      1.644  -1.092 0 1
carrots      0.813   2.969 0 1
carry        0.941  -0.070 0 1
cat          0.720   2.122 0 1
catch        0.821   0.550 0 1
cereal       0.965   4.562 0 1
chair        0.866   1.873 0 1
chalk        0.965   4.562 0 1
chase        0.475   4.272 0 1
cheek        0.965   4.562 0 1
cheerios     0.965   4.562 0 1
cheese       0.772   0.580 0 1
child        0.722   3.202 0 1
chin         0.549   2.604 0 1
chocolate    0.994  -1.205 0 1
church       0.601   2.425 0 1
circus       0.965   4.562 0 1
clap         0.853   1.892 0 1
climb        1.331  -0.586 0 1
clock        1.292  -2.391 0 1
close        0.950  -0.634 0 1
closet       0.947   2.702 0 1
cloud        0.813   2.969 0 1
clown        0.965   4.562 0 1
coat         0.508   1.771 0 1
coffee       0.896   1.126 0 1
coke         0.965   4.562 0 1
cold         0.847   1.168 0 1
comb         1.138   0.990 0 1
cook         0.716   1.318 0 1
cookie       0.965   4.562 0 1
corn         0.965   4.562 0 1
couch        0.655   2.274 0 1
country      1.030   1.039 0 1
cover        0.375   3.598 0 1
cow          0.965   4.562 0 1
cowboy       0.965   4.562 0 1
cracker      0.965   4.562 0 1
crayon       0.965   4.562 0 1
crib         0.965   4.562 0 1
cry          0.802   1.970 0 1
cup          0.362   0.450 0 1
cut          0.381   2.345 0 1
cute         0.750   0.596 0 1
daddy        0.947   2.702 0 1
dance        1.138   0.990 0 1
dark         1.783   0.417 0 1
day          1.627  -3.946 0 1
deer         0.965   4.562 0 1
diaper       0.965   4.562 0 1
did          0.385  -5.003 0 1
dinner       1.482  -0.569 0 1
dirty        0.947   2.702 0 1
dish         0.965   4.562 0 1
doctor       1.262   0.433 0 1
dog          0.847   1.168 0 1
doll         0.947   2.702 0 1
donkey       0.965   4.562 0 1
donut        0.965   4.562 0 1
door         1.199  -3.133 0 1
down         1.627  -3.946 0 1
downtown     0.965   4.562 0 1
draw         0.722   3.202 0 1
drawer       0.813   2.969 0 1
dress        0.866   1.873 0 1
drive        0.378   1.333 0 1
drop         0.386   2.317 0 1
dryer        0.965   4.562 0 1
duck         0.965   4.562 0 1
dump         0.965   4.562 0 1
each         0.305  -6.969 0 1
ear          0.628   3.508 0 1
eat          1.281  -2.394 0 1
egg          0.965   4.562 0 1
elephant     0.947   2.702 0 1
empty        0.947   2.702 0 1
every        1.233  -3.123 0 1
eye          0.670   1.391 0 1
face         0.635  -1.975 0 1
fall         1.331  -0.586 0 1
farm         0.385   3.509 0 1
fast         0.753  -1.912 0 1
feed         1.076   0.460 0 1
find         0.770  -4.109 0 1
fine         0.465   0.207 0 1
finger       0.644   0.017 0 1
finish       1.644  -1.092 0 1
fireman      0.965   4.562 0 1
firetruck    0.965   4.562 0 1
first        0.493   2.840 0 1
fit          0.626   0.719 0 1
fix          0.654  -0.641 0 1
flag         0.965   4.562 0 1
flower       0.965   4.562 0 1
food         0.628   3.508 0 1
foot         0.495   4.144 0 1
for.         0.700  -7.408 0 1
fork         0.947   2.702 0 1
friend       0.813  -2.560 0 1
frog         0.475   4.272 0 1
full         0.719  -0.646 0 1
game         0.884  -0.063 0 1
garage       0.722   3.202 0 1
garbage      0.965   4.562 0 1
garden       0.722   3.202 0 1
gentle       0.754  -0.034 0 1
get          0.432  -7.183 0 1
giraffe      0.965   4.562 0 1
girl         1.336  -2.382 0 1
give         1.156  -4.816 0 1
glass        0.599   0.755 0 1
glasses      0.653   3.419 0 1
gloves       0.722   3.202 0 1
glue         0.965   4.562 0 1
go           1.627  -3.946 0 1
good         0.770  -4.109 0 1
goose        0.965   4.562 0 1
