> normal_prior <- 'F = 1-586
+ PRIOR = (1-586, a1, norm, 2.6, 1)' 
> normal_model <- mirt.model(normal_prior)
> twoPL_run16_29_models_all_words_normal_prior <- mirt(lang_acq_run16_29_models_all_words_tsv, normal_model)
Iteration: 312, Log-Lik: -2944.268, Max-Change: 0.00010
> coef( twoPL_run16_29_models_all_words_normal_prior, IRTpars=TRUE, simplify = TRUE)
$items
                 a      b g u
about        3.048 -0.495 0 1
above        3.288 -0.158 0 1
after        2.378 -0.495 0 1
airplane     2.643  3.481 0 1
all          2.661 -0.495 0 1
alligator    2.643  3.481 0 1
animal       2.510  1.122 0 1
ankle        2.643  3.481 0 1
another      3.420 -0.158 0 1
ant          2.643  3.481 0 1
any          3.039 -0.495 0 1
apple        2.821  0.890 0 1
applesauce   2.643  3.481 0 1
arm          2.792  1.648 0 1
around       3.417  0.184 0 1
asleep       2.169  0.953 0 1
at           2.723 -1.004 0 1
aunt         2.264  1.811 0 1
awake        1.678  1.061 0 1
away         3.366  0.012 0 1
baby         2.541  0.910 0 1
back         2.132 -0.323 0 1
backyard     2.643  3.481 0 1
bad          3.458 -0.329 0 1
ball         2.944  1.076 0 1
balloon      2.643  3.481 0 1
banana       2.643  3.481 0 1
basement     2.264  1.811 0 1
basket       2.643  3.481 0 1
bat          2.436  1.748 0 1
bath         2.695  0.536 0 1
bathroom     2.791  1.090 0 1
bathtub      2.643  3.481 0 1
beach        2.541  0.910 0 1
beads        2.643  3.481 0 1
beans        2.643  3.481 0 1
bear         2.643  3.481 0 1
bed          3.187  0.699 0 1
bedroom      2.791  1.090 0 1
bee          1.950  0.991 0 1
before       2.311  0.021 0 1
behind       2.106  0.382 0 1
belt         2.800  1.646 0 1
bench        2.773  0.710 0 1
beside       3.321  0.696 0 1
better       2.678  0.188 0 1
bib          2.643  3.481 0 1
bicycle      2.437  1.748 0 1
big          2.916 -0.157 0 1
bird         2.800  1.646 0 1
bite         2.792  1.648 0 1
black        2.081  0.383 0 1
blanket      2.522  1.367 0 1
block        2.643  3.481 0 1
blow         1.650  1.337 0 1
blue         1.977  1.223 0 1
boat         2.643  3.481 0 1
book         2.805  0.360 0 1
boots        2.437  1.748 0 1
bottle       2.800  1.646 0 1
bowl         2.800  1.646 0 1
box          2.939  0.531 0 1
boy          2.459  0.192 0 1
bread        3.005  1.292 0 1
break.       2.674  1.339 0 1
breakfast    3.250  0.871 0 1
bring        3.236  0.013 0 1
broken       1.792  2.060 0 1
broom        2.643  3.481 0 1
brother      2.813  0.360 0 1
brown        2.643  3.481 0 1
brush        3.012  1.292 0 1
bubbles      2.643  3.481 0 1
bucket       2.643  3.481 0 1
bug          2.643  3.481 0 1
build        2.904  0.706 0 1
bump         2.072  0.968 0 1
bunny        2.643  3.481 0 1
bus          3.260  1.054 0 1
butter       2.094  1.195 0 1
butterfly    2.643  3.481 0 1
button       2.773  0.710 0 1
buy          2.907 -0.157 0 1
by           2.984  0.014 0 1
bye          2.073  0.569 0 1
cake         1.678  1.061 0 1
call         3.294  0.184 0 1
camera       2.643  3.481 0 1
camping      3.012  1.292 0 1
candy        2.643  3.481 0 1
car          2.807  0.533 0 1
careful      3.177  0.699 0 1
carrots      2.643  3.481 0 1
carry        2.802  1.088 0 1
cat          2.800  1.646 0 1
catch        3.177  0.699 0 1
cereal       2.643  3.481 0 1
chair        2.533  1.365 0 1
chalk        2.792  1.648 0 1
chase        2.643  3.481 0 1
cheek        2.792  1.648 0 1
cheerios     2.643  3.481 0 1
cheese       2.792  1.648 0 1
child        2.943  1.076 0 1
chin         2.800  1.646 0 1
chocolate    1.898  0.587 0 1
church       2.953  0.883 0 1
circus       2.643  3.481 0 1
clap         2.264  1.811 0 1
climb        2.821  0.890 0 1
clock        3.038 -0.327 0 1
close        3.347  0.527 0 1
closet       2.522  1.367 0 1
cloud        2.643  3.481 0 1
clown        2.643  3.481 0 1
coat         2.792  1.648 0 1
coffee       2.541  0.910 0 1
coke         2.643  3.481 0 1
cold         2.791  1.090 0 1
comb         3.005  1.292 0 1
cook         3.111  0.876 0 1
cookie       2.643  3.481 0 1
corn         2.643  3.481 0 1
couch        3.099  0.876 0 1
country      2.437  1.748 0 1
cover        2.800  1.646 0 1
cow          1.638  2.178 0 1
cowboy       2.643  3.481 0 1
cracker      2.643  3.481 0 1
crayon       2.643  3.481 0 1
crib         2.264  1.811 0 1
cry          2.675  1.339 0 1
cup          1.962  0.989 0 1
cut          2.509  1.122 0 1
cute         2.499  1.123 0 1
daddy        2.264  1.811 0 1
dance        1.929  1.534 0 1
dark         2.937  0.358 0 1
day          3.476 -0.497 0 1
deer         1.638  2.178 0 1
diaper       2.515  1.368 0 1
did          2.339  0.020 0 1
dinner       2.937  1.077 0 1
dirty        2.643  3.481 0 1
dish         2.643  3.481 0 1
doctor       2.643  3.481 0 1
dog          2.482  0.366 0 1
doll         2.643  3.481 0 1
donkey       2.643  3.481 0 1
donut        2.643  3.481 0 1
door         2.430 -0.154 0 1
down         3.146 -0.158 0 1
downtown     2.643  3.481 0 1
draw         1.638  2.178 0 1
drawer       2.643  3.481 0 1
dress        2.227  1.167 0 1
drive        2.541  0.910 0 1
drop         2.800  1.646 0 1
dryer        2.643  3.481 0 1
duck         2.643  3.481 0 1
dump         2.643  3.481 0 1
each         3.320 -0.328 0 1
ear          1.957  0.989 0 1
eat          1.632 -0.132 0 1
egg          1.973  1.225 0 1
elephant     2.522  1.367 0 1
empty        2.637  1.106 0 1
every        2.608  0.016 0 1
eye          2.057  0.971 0 1
face         2.582  0.539 0 1
fall         3.288 -0.158 0 1
farm         2.436  1.748 0 1
fast         3.189  0.356 0 1
feed         2.290  0.936 0 1
find         2.570 -0.325 0 1
fine         2.527  1.366 0 1
finger       2.578  0.540 0 1
finish       3.321  0.696 0 1
fireman      2.643  3.481 0 1
firetruck    2.643  3.481 0 1
first        2.941  0.531 0 1
