about    above    after    airplane    all    alligator    animal    ankle    another    ant    any    apple    applesauce    arm    around    asleep    at    aunt    awake    away    baby    back    backyard    bad    ball    balloon    banana    basement    basket    bat    bath    bathroom    bathtub    beach    beads    beans    bear    bed    bedroom    bee    before    behind    belt    bench    beside    better    bib    bicycle    big    bird    bite    black    blanket    block    blow    blue    boat    book    boots    bottle    bowl    box    boy    bread    break    breakfast    bring    broken    broom    brother    brown    brush    bubbles    bucket    bug    build    bump    bunny    bus    butter    butterfly    button    buy    by    bye    cake    call    camera    camping    candy    car    careful    carrots    carry    cat    catch    cereal    chair    chalk
1    0    0    0    1    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0
0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
1    1    1    0    1    0    0    0    1    0    1    0    0    0    0    1    1    0    0    1    0    1    0    1    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    0    1    0    0    0    1    0    0    0    0    0    0    0    0
1    0    1    0    1    0    0    0    1    0    1    1    0    0    0    0    1    0    0    0    0    1    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    1    0    0    1    1    0    0    0    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    1    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    0    1    0    0    0    1    0    0    0    0    0    0    0    0
1    0    1    0    1    0    0    0    1    0    1    0    0    0    1    0    1    0    0    1    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    0    1    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    1    0    0    0    0    0    0    0    0    0    0    0    1    0    0    1    0    0    0    1    0    0    0    0    0    0    0    0
1    1    1    0    1    0    0    0    1    0    1    0    0    0    0    1    1    0    0    1    0    1    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    1    1    1    0    0    1    0    0    1    0    0    0    0    0    0    0    0    1    0    1    0    0    0    1    0    0    1    0    0    0    0    0    1    1    0    0    0    0    0    1    1    1    1    1    1    0    0    1    0    0    0    0    0    0    0    0
1    1    1    0    1    0    0    0    1    0    1    0    0    0    0    0    1    1    0    1    1    1    0    1    1    0    0    0    0    0    1    1    0    0    0    0    0    0    0    0    1    0    1    0    1    1    0    0    1    0    0    1    0    0    0    0    0    0    0    0    0    1    0    1    0    1    1    0    0    1    0    0    0    0    0    1    0    0    0    0    0    0    1    1    0    0    1    0    0    0    1    1    0    1    0    0    0    0    0
1    0    1    0    1    0    0    0    1    0    1    1    0    0    1    1    1    0    0    0    0    1    0    1    1    0    0    0    0    0    0    0    0    0    0    0    0    0    1    1    0    1    0    0    0    1    0    0    1    0    0    1    0    0    0    1    0    1    0    0    0    0    0    0    0    0    1    0    0    1    0    1    0    0    0    1    0    0    0    0    0    0    1    1    0    0    1    0    0    0    0    1    0    0    0    1    0    0    0
1    1    1    0    1    0    0    0    1    0    1    0    0    0    1    1    1    0    0    1    1    1    0    1    0    0    0    0    0    0    1    0    0    1    0    1    0    1    1    0    1    1    1    1    0    1    0    0    1    0    0    1    1    0    0    0    0    1    0    0    0    1    1    0    0    1    1    0    0    1    0    0    0    0    0    1    0    0    0    0    0    1    1    1    1    1    1    0    0    0    1    1    0    1    0    1    0    0    0
