	items.a	items.b	items.g	items.u	means	F
about	3.04819462164046	-0.495121024331693	0	1	0	1
above	3.28771487729251	-0.158109390736287	0	1	0	1
after	2.37780422559241	-0.495457007342557	0	1	0	1
airplane	2.6432896362266	3.48058824337413	0	1	0	1
all	2.66133148668351	-0.494835986711301	0	1	0	1
alligator	2.6432896362266	3.48058824337413	0	1	0	1
animal	2.50966455545507	1.12151369388263	0	1	0	1
ankle	2.6432896362266	3.48058824337413	0	1	0	1
another	3.42048091153006	-0.158473325147637	0	1	0	1
ant	2.6432896362266	3.48058824337413	0	1	0	1
any	3.03882141692456	-0.495097493949947	0	1	0	1
apple	2.82075332313524	0.890346772126058	0	1	0	1
applesauce	2.6432896362266	3.48058824337413	0	1	0	1
arm	2.79235804616665	1.64754817827306	0	1	0	1
around	3.41684660273026	0.183886647086981	0	1	0	1
asleep	2.16892863629042	0.952733796264455	0	1	0	1
at	2.72268454256435	-1.00406082116865	0	1	0	1
aunt	2.26417410268105	1.81118458990771	0	1	0	1
awake	1.67819925692969	1.06147081596443	0	1	0	1
away	3.36572872881506	0.0124947090118693	0	1	0	1
baby	2.54057958898583	0.910487107124005	0	1	0	1
back	2.13242779412753	-0.32331444280808	0	1	0	1
backyard	2.6432896362266	3.48058824337413	0	1	0	1
bad	3.45824147059803	-0.32885087769209	0	1	0	1
ball	2.94352948456985	1.07603773710098	0	1	0	1
balloon	2.6432896362266	3.48058824337413	0	1	0	1
banana	2.6432896362266	3.48058824337413	0	1	0	1
basement	2.26417410268105	1.81118458990771	0	1	0	1
basket	2.6432896362266	3.48058824337413	0	1	0	1
bat	2.4362461054273	1.74838004145204	0	1	0	1
bath	2.6951877556525	0.535965736136407	0	1	0	1
bathroom	2.79084997177365	1.08955730596509	0	1	0	1
bathtub	2.6432896362266	3.48058824337413	0	1	0	1
beach	2.54057958898583	0.910487107124005	0	1	0	1
beads	2.6432896362266	3.48058824337413	0	1	0	1
beans	2.6432896362266	3.48058824337413	0	1	0	1
bear	2.6432896362266	3.48058824337413	0	1	0	1
bed	3.18697457193273	0.698739931282416	0	1	0	1
bedroom	2.79098295729301	1.08954450633192	0	1	0	1
bee	1.9500856826884	0.990939461992603	0	1	0	1
before	2.31127611905578	0.0205619363369022	0	1	0	1
behind	2.10550487415227	0.381711145871473	0	1	0	1
belt	2.7995109799603	1.64584074169713	0	1	0	1
bench	2.77276790924912	0.710389920372631	0	1	0	1
beside	3.32126046424489	0.696439135779664	0	1	0	1
better	2.67782758592665	0.188202663714285	0	1	0	1
bib	2.6432896362266	3.48058824337413	0	1	0	1
bicycle	2.43682787973901	1.74818578183667	0	1	0	1
big	2.91639187443154	-0.156747698760374	0	1	0	1
bird	2.7995109799603	1.64584074169713	0	1	0	1
bite	2.79235804616665	1.64754817827306	0	1	0	1
black	2.08090116612501	0.383226577451713	0	1	0	1
blanket	2.52167085691324	1.36705482886966	0	1	0	1
block	2.6432896362266	3.48058824337413	0	1	0	1
blow	1.65006338418293	1.33678114264254	0	1	0	1
blue	1.97721219083262	1.22339490789618	0	1	0	1
boat	2.6432896362266	3.48058824337413	0	1	0	1
book	2.8048409586902	0.35963204610375	0	1	0	1
boots	2.43682787973901	1.74818578183667	0	1	0	1
bottle	2.7995109799603	1.64584074169713	0	1	0	1
bowl	2.7995109799603	1.64584074169713	0	1	0	1
box	2.93912478375716	0.530743732685729	0	1	0	1
boy	2.4590577488654	0.191621242144464	0	1	0	1
bread	3.00497608580968	1.29247365977486	0	1	0	1
break.	2.67424417160488	1.33949306548801	0	1	0	1
breakfast	3.24963999812251	0.870840507239836	0	1	0	1
bring	3.23607714180345	0.0128656428889344	0	1	0	1
broken	1.79154485942667	2.06033158198279	0	1	0	1
broom	2.6432896362266	3.48058824337413	0	1	0	1
brother	2.81307683274395	0.359523454936367	0	1	0	1
brown	2.6432896362266	3.48058824337413	0	1	0	1
brush	3.01179871451869	1.29165208633586	0	1	0	1
bubbles	2.6432896362266	3.48058824337413	0	1	0	1
bucket	2.6432896362266	3.48058824337413	0	1	0	1
bug	2.6432896362266	3.48058824337413	0	1	0	1
build	2.90420564644714	0.705783746079707	0	1	0	1
bump	2.07213050560871	0.968062360938142	0	1	0	1
bunny	2.6432896362266	3.48058824337413	0	1	0	1
bus	3.26008924737554	1.05415422983593	0	1	0	1
butter	2.09391306277676	1.19450160580132	0	1	0	1
butterfly	2.6432896362266	3.48058824337413	0	1	0	1
button	2.77276790924912	0.710389920372631	0	1	0	1
buy	2.90728573542412	-0.156706777780406	0	1	0	1
by	2.98379553355354	0.013854073574289	0	1	0	1
bye	2.07291149503625	0.568664307984036	0	1	0	1
cake	1.67812131879856	1.06149603157372	0	1	0	1
call	3.29431167703242	0.18419743910641	0	1	0	1
camera	2.6432896362266	3.48058824337413	0	1	0	1
camping	3.01179871451869	1.29165208633586	0	1	0	1
candy	2.6432896362266	3.48058824337413	0	1	0	1
car	2.80672140822691	0.53324437811172	0	1	0	1
careful	3.17674572908787	0.698939137379755	0	1	0	1
carrots	2.6432896362266	3.48058824337413	0	1	0	1
carry	2.80213115515225	1.08847826974483	0	1	0	1
cat	2.7995109799603	1.64584074169713	0	1	0	1
catch	3.17674572908787	0.698939137379755	0	1	0	1
cereal	2.6432896362266	3.48058824337413	0	1	0	1
chair	2.53346925047288	1.36476183615602	0	1	0	1
chalk	2.79235804616665	1.64754817827306	0	1	0	1
chase	2.6432896362266	3.48058824337413	0	1	0	1
cheek	2.79219841838713	1.64758640558314	0	1	0	1
cheerios	2.6432896362266	3.48058824337413	0	1	0	1
cheese	2.79219841838713	1.64758640558314	0	1	0	1
child	2.94301418917323	1.07607966774215	0	1	0	1
chin	2.7995109799603	1.64584074169713	0	1	0	1
chocolate	1.89751801876881	0.587235529806118	0	1	0	1
church	2.95255146361244	0.883172745385879	0	1	0	1
circus	2.6432896362266	3.48058824337413	0	1	0	1
clap	2.26417410268105	1.81118458990771	0	1	0	1
climb	2.82122094347887	0.89031906766078	0	1	0	1
clock	3.03808494928781	-0.327108431181714	0	1	0	1
close	3.34665022667518	0.526612000663781	0	1	0	1
closet	2.52167085691324	1.36705482886966	0	1	0	1
cloud	2.6432896362266	3.48058824337413	0	1	0	1
clown	2.6432896362266	3.48058824337413	0	1	0	1
coat	2.79235804616665	1.64754817827306	0	1	0	1
coffee	2.54057958898583	0.910487107124005	0	1	0	1
coke	2.6432896362266	3.48058824337413	0	1	0	1
cold	2.79098295729301	1.08954450633192	0	1	0	1
comb	3.00497608580968	1.29247365977486	0	1	0	1
cook	3.11056262927836	0.876037934300988	0	1	0	1
cookie	2.6432896362266	3.48058824337413	0	1	0	1
corn	2.6432896362266	3.48058824337413	0	1	0	1
couch	3.09942176143254	0.876495135022839	0	1	0	1
country	2.43682787973901	1.74818578183667	0	1	0	1
cover	2.7995109799603	1.64584074169713	0	1	0	1
cow	1.63774968313874	2.17812722719524	0	1	0	1
cowboy	2.6432896362266	3.48058824337413	0	1	0	1
cracker	2.6432896362266	3.48058824337413	0	1	0	1
crayon	2.6432896362266	3.48058824337413	0	1	0	1
crib	2.26417410268105	1.81118458990771	0	1	0	1
cry	2.67478227270662	1.33940338175115	0	1	0	1
cup	1.96163158737299	0.98858312095752	0	1	0	1
cut	2.50919257518494	1.12157673414574	0	1	0	1
cute	2.49907438444679	1.12293685428583	0	1	0	1
daddy	2.26417410268105	1.81118458990771	0	1	0	1
dance	1.92889830390035	1.53354208174996	0	1	0	1
dark	2.93726213910502	0.358128427492571	0	1	0	1
day	3.47620306987711	-0.496960961722018	0	1	0	1
deer	1.63774968313874	2.17812722719524	0	1	0	1
diaper	2.51530495797151	1.36830410330135	0	1	0	1
did	2.33949873750253	0.0200552973271397	0	1	0	1
dinner	2.93689773072675	1.0765791461508	0	1	0	1
dirty	2.6432896362266	3.48058824337413	0	1	0	1
dish	2.6432896362266	3.48058824337413	0	1	0	1
doctor	2.6432896362266	3.48058824337413	0	1	0	1
dog	2.48227540803112	0.365982675455703	0	1	0	1
doll	2.6432896362266	3.48058824337413	0	1	0	1
donkey	2.6432896362266	3.48058824337413	0	1	0	1
donut	2.6432896362266	3.48058824337413	0	1	0	1
door	2.43005413750963	-0.153674667730642	0	1	0	1
